a,7
b,6
c,7
d,9
e,2
f,27
g,5
h,18
i,8
j,1
k,31
l,45
m,33
n,1
o,1
p,37
q,25
r,0
s,15
t,12
u,36
v,24
w,8
x,0
y,19
z,22
